matrix_id,nrows,ncols,nnz,density,nnz_per_row_mean,nnz_per_row_std,nnz_per_row_min,nnz_per_row_max,zero_diag_fraction,diag_abs_mean,diag_abs_std,diag_dominance_fraction,norm_1,norm_inf,symmetry_score_struct,row_norm2_mean,row_norm2_std,row_norm2_min,row_norm2_max,col_norm2_mean,col_norm2_std,col_norm2_min,col_norm2_max,diag_abs_min,diag_abs_max,tiny_diag_fraction,symmetry_numeric_fro_ratio,spec_radius_est,sigma_max_est_power,row_norm2_spread,pseudo_kappa
3elt,4720,4720,27444,0.0012318658431485,5.814406779661017,0.6707288501790503,3.0,9.0,1.0,0.0,0.0,0.0,9.0,9.0,1.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,0.0,0.0,1.0,0.0,5.796031434632528,5.910557455707107,1.7320508075688774,10.237385814339746
3elt_dual,9000,9000,26556,0.0003278518518518,2.9506666666666668,0.2165630521477649,2.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,0.0,0.0,1.0,0.0,2.8837029721086624,2.93689535279253,1.224744871391589,3.5969475211464426
ACTIVSg2000,4000,4000,29336,0.0018335,7.334,3.3449131528337173,4.0,34.0,0.0,179.95220982001692,306.65881269927445,0.0725,6880.741920381477,6885.281652522031,1.0,215.55902132831625,357.93489195508533,1.0,3954.387640009604,219.01990277090584,355.8277121657939,1.771940706542717,3954.4466490824,1.0,3298.50764448534,0.0,0.2090267941102808,4909.753714571582,4980.118598193536,3954.387640009604,19693319.430478472
Alemdar,6245,6245,42581,0.001091819812936,6.8184147317854285,2.360947357921529,1.0,10.0,0.0,1.0,0.0,0.0008006405124099,82.0,82.0,1.0,21.139447848377294,5.041362706685162,1.0,27.018512172212592,21.139447848377294,5.041362706685162,1.0,27.018512172212592,1.0,1.0,0.0,0.0,66.91806552504596,68.25072021943582,27.018512172212592,1844.032915011103
Binaryalphadigs_10NN,1404,1404,19392,0.0098375824871551,13.811965811965813,3.787289337118001,10.0,31.0,1.0,0.0,0.0,0.0,3.3274985218761457,3.3274985218761457,1.0,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.1847476586190844,0.2216101719628086,0.0612680345947341,1.7369607309669484,0.0,0.0,1.0,0.0,3.0310137439561196,3.0310137440481313,28.350195047977557,85.92983083686525
CAG_mat1916,1916,1916,195985,0.0533865459965742,102.28862212943632,59.27616355452157,2.0,279.0,0.0,5.086116910229645,7.643504983246935,0.0010438413361169,9453.0,1416.0,0.307094930734495,26.311519050749695,20.6145634998671,1.4142135623730951,223.63810051062407,17.823280099244457,28.276968535398083,1.4142135623730951,457.9639723821078,1.0,144.0,0.0,1.1270799640279527,453.41006506090713,917.127410272731,158.13601740274098,145030.87611141935
CSphd,1882,1882,1740,0.0004912584233879,0.924548352816153,2.3089354068757055,0.0,45.0,1.0,0.0,0.0,0.6158342189160467,3.0,45.0,0.0,0.5357157200960503,0.7984716776806321,0.0,6.708203932499369,0.8969528630287582,0.3464446771429266,0.0,1.7320508075688772,0.0,0.0,1.0,1.414213562373095,0.0,6.709896823855469,6.708203932499369,45.01135626045228
California,9664,9664,16150,0.0001729253582627,1.6711506622516556,3.6955052124593375,0.0,164.0,1.0,0.0,0.0,0.4798220198675497,199.0,164.0,0.0224148606811145,0.8304957879919966,0.9906701814323516,0.0,12.806248474865695,0.4773362020046294,1.201374551298408,0.0,14.106735979665885,0.0,0.0,1.0,1.3982740356016667,7.405124529032488,21.49098129194992,12.806248474865695,275.2188463934009
Chebyshev2,2053,2053,18447,0.0043767107833356,8.985387238188018,90.28943976502404,3.0,2053.0,0.0,0.7930284602640482,19.829168348530768,0.92498782269849,20004.0,24375.00001,0.5558085325527186,22.72402288147858,638.9030854521799,0.000109005568746,20276.640355528096,25.184452438750547,638.8108305058657,0.0001090235146206,20000.0001,1e-05,697.9166766666666,0.0,1.4133178832088584,727.4154013020928,20241.103915928234,186014720.0623551,3765143278674.43
Chebyshev3,4101,4101,36879,0.0021928029044247,8.992684711046087,127.84401288852536,3.0,4101.0,0.0,31.39536102188515,1171.7518425621276,0.8836869056327725,2000004.0,2353125.00001,0.5556820955015049,1130.4739590669406,45079.84390056897,0.000258897938314,2017531.790805432,1229.2672943045309,45077.25811749143,0.0002589215229132,2000000.000001,1e-05,58541.66667666667,0.0,1.4135793968686845,61096.20336447615,2013127.8812677313,7792768856.885081,1.5687840258070224e+16
